,PROP_VOX_ABV10%,NVOX_ROI
X4,0.9636363636363636,55
X11,0.0,174
X23,1.0,54
X30,1.0,65
X31,1.0,132
X32,1.0,126
X35,0.06406179009541117,2201
X36,0.9978308026030369,461
X37,0.9979919678714859,498
X38,0.02530909090909091,6875
X39,0.0224,6875
X40,0.0,1654
X41,0.0,1713
X44,0.4751701443422332,26742
X45,0.469066840111719,26137
X46,0.3779527559055118,127
X47,1.0,471
X48,0.9977777777777778,450
X49,0.8387096774193549,31
X50,0.7777777777777778,18
X51,0.17443609022556392,665
X52,0.16375838926174496,745
X55,1.0,193
X56,0.9184782608695652,184
X57,1.0,598
X58,1.0,634
X59,0.9876543209876543,1053
X60,0.9302752293577982,1090
X61,1.0,576
X62,0.9847457627118644,590
X64,1.0,2
X69,0.7777777777777778,9
X71,0.0,624
X72,0.0,246
X73,0.0,362
X75,0.9272727272727272,55
X76,1.0,50
X100,0.9916943521594684,602
X101,0.9986577181208054,745
X102,0.9966216216216216,592
X103,0.9983606557377049,610
X104,1.0,303
X105,1.0,266
X106,0.9854735618826264,1721
X107,0.9585223590408296,1543
X108,0.9815668202764977,434
X109,0.9852941176470589,476
X112,0.9952076677316294,626
X113,0.9883720930232558,602
X114,0.993103448275862,725
X115,0.9983498349834984,606
X116,0.46875,288
X117,0.5506072874493927,247
X118,0.9892086330935251,278
X119,0.9931506849315068,292
X120,0.8156606851549756,613
X121,0.8013468013468014,594
X122,0.7071490094745909,1161
X123,0.6791304347826087,1150
X124,0.7994350282485876,354
X125,0.7835365853658537,328
X128,1.0,876
X129,0.9726315789473684,950
X132,0.5439497716894978,1752
X133,0.46698393813206424,1681
X134,0.9715335169880625,1089
X135,0.9466791393826005,1069
X136,0.9969135802469136,324
X137,1.0,376
X138,1.0,672
X139,0.9984251968503937,635
X140,1.0,286
X141,1.0,258
X142,0.9120781527531083,3378
X143,0.940424295263005,3441
X144,1.0,752
X145,1.0,980
X146,0.8789712556732224,661
X147,0.8584779706275033,749
X148,0.9915966386554622,119
X149,0.9921875,128
X150,0.9731903485254692,373
X151,0.9824561403508771,342
X152,0.9763539282990084,1311
X153,0.9930898321816387,1013
X154,0.92520035618878,2246
X155,0.9357798165137615,2289
X156,0.9716981132075472,424
X157,0.9561068702290076,524
X160,0.9224137931034483,580
X161,0.641914191419142,606
X162,0.92776886035313,623
X163,0.9488117001828154,547
X164,1.0,204
X165,1.0,194
X166,0.9908424908424909,546
X167,0.9906976744186047,645
X168,0.99407231772377,1687
X169,0.9919121894858464,1731
X170,0.6767123287671233,365
X171,0.6802030456852792,394
X172,0.9946666666666667,375
X173,1.0,346
X174,0.9908256880733946,327
X175,0.9952718676122931,423
X176,0.8943396226415095,1590
X177,0.8827433628318584,1808
X178,0.9878048780487805,410
X179,0.9953596287703016,431
X180,1.0,293
X181,0.9972375690607734,362
X182,0.874282982791587,2092
X183,0.9022222222222223,2025
X184,0.9970414201183432,338
X185,0.9739884393063584,346
X186,0.9936708860759493,158
X187,1.0,124
X190,0.6673121611154144,2582
X191,0.7177547770700637,2512
X192,0.8493150684931506,876
X193,0.883538633818589,893
X194,0.9555555555555556,1305
X195,0.9713715046604527,1502
X196,0.9760383386581469,626
X197,0.9761904761904762,504
X198,0.7744774477447744,1818
X199,0.7939778129952456,1893
X200,0.9893992932862191,1132
X201,0.9972948602344455,1109
X202,0.34840218238503506,1283
X203,0.3971853010164191,1279
X204,0.9897959183673469,588
X205,1.0,619
X206,1.0,181
X207,1.0,208
